Sep=;
#X1;-41
#Z1;-15851
#X2;17097
#Z2;1169
seed;structure;x;z;details
202361620;end_city;4864;-14352;size=64:ship
202361620;end_city;4848;-7952;size=11
202361620;end_city;4880;-576;size=67:ship
202361620;end_city;5216;-14352;size=73:ship
202361620;end_city;5168;-10832;size=96:ship
202361620;end_city;5184;-9232;size=105
202361620;end_city;5216;-6352;size=56:ship
202361620;end_city;5136;-1872;size=23
202361620;end_city;5136;-288;size=49:ship
202361620;end_city;5456;-14960;size=49
202361620;end_city;5552;-14352;size=63:ship
202361620;end_city;5488;-11808;size=67:ship
202361620;end_city;5504;-576;size=69:ship
202361620;end_city;5472;-256;size=23:ship
202361620;end_city;5808;-13712;size=11
202361620;end_city;5856;-9536;size=30:ship
202361620;end_city;5824;-272;size=23
202361620;end_city;5808;80;size=40
202361620;end_city;6096;-13392;size=94:ship
202361620;end_city;6160;-12432;size=15:ship
202361620;end_city;6160;-8304;size=15
202361620;end_city;6448;-10528;size=10
202361620;end_city;6416;-592;size=96:ship
202361620;end_city;6752;-14304;size=10
202361620;end_city;6832;-11760;size=54
202361620;end_city;6720;-8560;size=53:ship
202361620;end_city;6768;-7616;size=11
202361620;end_city;6848;-6032;size=47
202361620;end_city;6720;-4096;size=36
202361620;end_city;7056;-14080;size=57
202361620;end_city;7136;-10208;size=44:ship
202361620;end_city;7104;-7936;size=10
202361620;end_city;7040;-5008;size=75:ship
202361620;end_city;7360;-11152;size=38:ship
202361620;end_city;7456;-9824;size=92:ship
202361620;end_city;7424;-7952;size=19:ship
202361620;end_city;7408;-6976;size=48
202361620;end_city;7424;-6656;size=84:ship
202361620;end_city;7424;-4736;size=17
202361620;end_city;7360;-2512;size=11
202361620;end_city;7408;-576;size=54
202361620;end_city;7776;-14992;size=75:ship
202361620;end_city;7728;-13696;size=137:ship
202361620;end_city;7760;-10816;size=44
202361620;end_city;7696;-10160;size=70:ship
202361620;end_city;7696;-9200;size=76
202361620;end_city;7712;-6352;size=52:ship
202361620;end_city;7760;-6032;size=51
202361620;end_city;7744;-5104;size=18
202361620;end_city;7760;-2800;size=28
202361620;end_city;7696;-2496;size=173:ship
202361620;end_city;8096;-13712;size=97:ship
202361620;end_city;8032;-13104;size=51:ship
202361620;end_city;8048;-7024;size=9
202361620;end_city;8000;-3472;size=146:ship
202361620;end_city;8032;-2192;size=15
202361620;end_city;8384;-15040;size=54
202361620;end_city;8368;-13360;size=62:ship
202361620;end_city;8384;-11776;size=63:ship
202361620;end_city;8416;-528;size=54:ship
202361620;end_city;8368;48;size=10
202361620;end_city;8736;-14976;size=39
202361620;end_city;8688;-11824;size=125:ship
202361620;end_city;8672;-6064;size=85:ship
202361620;end_city;8960;-6640;size=10
202361620;end_city;9040;-6320;size=61:ship
202361620;end_city;9008;-4128;size=102:ship
202361620;end_city;9056;-896;size=89:ship
202361620;end_city;9360;-11824;size=15
202361620;end_city;9328;-4080;size=73:ship
202361620;end_city;9360;-1568;size=102:ship
202361620;end_city;9328;-256;size=68:ship
202361620;end_city;9664;-12736;size=117:ship
202361620;end_city;9712;-10832;size=94:ship
202361620;end_city;9696;-9888;size=11
202361620;end_city;9632;-8544;size=100:ship
202361620;end_city;9632;-4448;size=17
202361620;end_city;9600;-3792;size=59:ship
202361620;end_city;9616;-896;size=59:ship
202361620;end_city;10000;-14016;size=13:ship
202361620;end_city;10032;-9904;size=124:ship
202361620;end_city;10304;-12400;size=11
202361620;end_city;10272;-4432;size=46
202361620;end_city;10304;-3120;size=10
202361620;end_city;10288;-2512;size=9
202361620;end_city;10272;-944;size=85:ship
202361620;end_city;10624;-15632;size=93:ship
202361620;end_city;10624;-8544;size=79:ship
202361620;end_city;10592;-5728;size=59:ship
202361620;end_city;10656;-3168;size=129
202361620;end_city;10656;-912;size=53
202361620;end_city;10960;-14608;size=86
202361620;end_city;10912;-12080;size=34:ship
202361620;end_city;10976;-7552;size=36:ship
202361620;end_city;10944;-4080;size=33
202361620;end_city;10992;-1568;size=81
202361620;end_city;11280;-15600;size=64:ship
202361620;end_city;11216;-15296;size=80:ship
202361620;end_city;11232;-8928;size=49
202361620;end_city;11296;-6384;size=118:ship
202361620;end_city;11264;-6064;size=18
202361620;end_city;11280;-4416;size=10
202361620;end_city;11264;752;size=74:ship
202361620;end_city;11584;-8560;size=44
202361620;end_city;11552;-1856;size=45:ship
202361620;end_city;11536;96;size=52:ship
202361620;end_city;11952;-13648;size=78:ship
202361620;end_city;11920;-13088;size=114:ship
202361620;end_city;11888;-10864;size=10
202361620;end_city;11840;-9888;size=65:ship
202361620;end_city;11888;-7328;size=17
202361620;end_city;11872;-1824;size=64
202361620;end_city;11872;352;size=11
202361620;end_city;12224;-14352;size=176:ship
202361620;end_city;12240;-12768;size=102:ship
202361620;end_city;12192;-9600;size=19
202361620;end_city;12208;-6672;size=72:ship
202361620;end_city;12224;-6080;size=56:ship
202361620;end_city;12208;656;size=70
202361620;end_city;12528;-13024;size=73:ship
202361620;end_city;12496;-10512;size=10
202361620;end_city;12592;-6992;size=42
202361620;end_city;12512;688;size=18
202361620;end_city;12864;-14336;size=59:ship
202361620;end_city;12864;-13056;size=16:ship
202361620;end_city;12848;-12720;size=12
202361620;end_city;12880;-12384;size=17
202361620;end_city;13200;-14000;size=24
202361620;end_city;13200;-13072;size=69:ship
202361620;end_city;13168;-5392;size=50:ship
202361620;end_city;13136;-2848;size=53:ship
202361620;end_city;13232;-1168;size=54
202361620;end_city;13200;-608;size=72
202361620;end_city;13536;-14688;size=18
202361620;end_city;13520;-13408;size=10
202361620;end_city;13520;-9808;size=48:ship
202361620;end_city;13488;-5344;size=37
202361620;end_city;13472;-2496;size=80:ship
202361620;end_city;13520;-1840;size=85
202361620;end_city;13840;-5344;size=26:ship
202361620;end_city;13792;-1552;size=144:ship
202361620;end_city;14160;-9216;size=56:ship
202361620;end_city;14128;-8256;size=85:ship
202361620;end_city;14128;-6304;size=10
202361620;end_city;14160;-3072;size=45
202361620;end_city;14416;-12688;size=66:ship
202361620;end_city;14448;-9264;size=18
202361620;end_city;14448;-8256;size=23
202361620;end_city;14432;-7936;size=11
202361620;end_city;14496;-2464;size=22:ship
202361620;end_city;14800;-10448;size=127
202361620;end_city;14736;-9264;size=37:ship
202361620;end_city;14752;-6960;size=64:ship
202361620;end_city;14800;-4400;size=10
202361620;end_city;14736;-3168;size=103:ship
202361620;end_city;14768;-1552;size=47:ship
202361620;end_city;15104;-15280;size=87:ship
202361620;end_city;15072;-9232;size=9
202361620;end_city;15072;-8560;size=30
202361620;end_city;15088;-3808;size=129:ship
202361620;end_city;15088;-2192;size=10
202361620;end_city;15104;1040;size=72
202361620;end_city;15472;-11456;size=72:ship
202361620;end_city;15360;-10160;size=122
202361620;end_city;15376;-9520;size=10
202361620;end_city;15408;-7008;size=88
202361620;end_city;15472;-6320;size=84:ship
202361620;end_city;15376;-5664;size=99
202361620;end_city;15744;-10800;size=61
202361620;end_city;15760;-8560;size=67:ship
202361620;end_city;15792;-5408;size=39
202361620;end_city;15728;-3152;size=41:ship
202361620;end_city;15728;-864;size=10
202361620;end_city;16080;-15264;size=22:ship
202361620;end_city;16064;-7952;size=27
202361620;end_city;16048;-1248;size=11
202361620;end_city;16096;16;size=70
202361620;end_city;16400;-14032;size=73:ship
202361620;end_city;16368;-13088;size=95:ship
202361620;end_city;16368;-7296;size=101:ship
202361620;end_city;16336;-1920;size=81:ship
202361620;end_city;16416;-1520;size=78:ship
202361620;end_city;16400;-256;size=31:ship
202361620;end_city;16720;-15264;size=10
202361620;end_city;16736;-14704;size=28
202361620;end_city;16688;-12784;size=47:ship
202361620;end_city;16656;-9536;size=27
202361620;end_city;16672;-8880;size=34
202361620;end_city;16672;-4400;size=57
202361620;end_city;16704;-3488;size=69:ship
202361620;end_city;16704;-3168;size=83
202361620;end_city;16672;-1248;size=35
202361620;end_city;16672;1040;size=11
202361620;end_city;16992;-10480;size=12
202361620;end_city;17024;-8880;size=112:ship
202361620;end_city;17040;-8608;size=10
202361620;end_city;17056;-7632;size=10
202361620;end_city;17056;-4480;size=41
202361620;end_city;16992;-3760;size=95:ship
202361620;end_city;16992;-2464;size=72
202361620;end_city;17024;-1536;size=65
